Filename,Shiny %,Unconditioned %,Black Grooves %
synthetic_disc_01.jpg,60.07%,26.14%,13.80%
synthetic_disc_02.jpg,63.55%,22.66%,13.80%
synthetic_disc_03.jpg,36.09%,50.12%,13.80%
synthetic_disc_04.jpg,31.49%,54.73%,13.80%
synthetic_disc_05.jpg,45.14%,41.07%,13.80%
synthetic_disc_06.jpg,57.32%,28.90%,13.80%
synthetic_disc_07.jpg,76.99%,9.22%,13.80%
synthetic_disc_08.jpg,77.52%,8.69%,13.80%
synthetic_disc_09.jpg,21.76%,64.45%,13.80%
synthetic_disc_10.jpg,39.76%,46.45%,13.80%
synthetic_disc_11.jpg,60.34%,25.88%,13.80%
synthetic_disc_12.jpg,45.41%,40.80%,13.80%
synthetic_disc_13.jpg,22.36%,63.85%,13.80%
synthetic_disc_14.jpg,62.93%,23.28%,13.80%
synthetic_disc_15.jpg,53.46%,32.75%,13.80%
synthetic_disc_16.jpg,49.65%,36.56%,13.80%
synthetic_disc_17.jpg,25.19%,61.02%,13.80%
synthetic_disc_18.jpg,78.76%,7.45%,13.80%
synthetic_disc_19.jpg,60.43%,25.78%,13.80%
synthetic_disc_20.jpg,81.15%,5.06%,13.80%
